case,n,m,r,threads,version,best,average,worst
0,10,10,10,1,0,1,1,2
0,10,10,10,1,1,3,47,450
0,10,10,10,1,2,2,3,13
0,10,10,10,1,3,23,23,29
0,10,10,10,1,4,24,27,58
0,10,10,10,1,5,3,3,9
0,10,10,10,1,6,23,23,25
0,10,10,10,1,7,23,26,42
0,10,10,10,1,8,225,239,292
0,10,10,10,1,9,224,243,304
0,10,10,10,1,10,56,58,66
0,10,10,10,1,11,223,232,296
0,10,10,10,1,12,45,46,53
0,10,10,10,1,13,203,217,265
0,10,10,10,1,14,206,230,279
0,10,10,10,1,15,206,227,289
0,10,10,10,1,16,38,43,74
0,10,10,10,1,17,205,225,269
0,10,10,10,2,0,1,1,2
0,10,10,10,2,1,2,28,261
0,10,10,10,2,2,2,2,4
0,10,10,10,2,3,73,84,90
0,10,10,10,2,4,65,78,90
0,10,10,10,2,5,2,2,3
0,10,10,10,2,6,84,95,110
0,10,10,10,2,7,3,3,7
0,10,10,10,2,8,50,62,68
0,10,10,10,2,9,63,68,71
0,10,10,10,2,10,119,127,180
0,10,10,10,2,11,66,69,82
0,10,10,10,2,12,72,80,94
0,10,10,10,2,13,18,18,22
0,10,10,10,2,14,10,12,27
0,10,10,10,2,15,11,13,32
0,10,10,10,2,16,101,106,138
0,10,10,10,2,17,10,12,34
0,10,10,10,3,0,1,1,3
0,10,10,10,3,1,2,23,215
0,10,10,10,3,2,2,2,3
0,10,10,10,3,3,109,123,178
0,10,10,10,3,4,100,119,142
0,10,10,10,3,5,3,3,3
0,10,10,10,3,6,107,137,215
0,10,10,10,3,7,3,5,18
0,10,10,10,3,8,101,112,157
0,10,10,10,3,9,101,126,249
0,10,10,10,3,10,134,169,286
0,10,10,10,3,11,101,111,121
0,10,10,10,3,12,99,112,129
0,10,10,10,3,13,18,21,32
0,10,10,10,3,14,8,9,15
0,10,10,10,3,15,8,9,16
0,10,10,10,3,16,81,90,111
0,10,10,10,3,17,7,9,14
0,10,10,10,4,0,3,3,5
0,10,10,10,4,1,3,27,246
0,10,10,10,4,2,3,3,3
0,10,10,10,4,3,101,108,117
0,10,10,10,4,4,103,116,138
0,10,10,10,4,5,2,2,3
0,10,10,10,4,6,115,121,126
0,10,10,10,4,7,3,4,10
0,10,10,10,4,8,104,110,127
0,10,10,10,4,9,109,115,134
0,10,10,10,4,10,122,132,142
0,10,10,10,4,11,118,125,132
0,10,10,10,4,12,102,116,197
0,10,10,10,4,13,30,35,47
0,10,10,10,4,14,12,12,14
0,10,10,10,4,15,11,15,32
0,10,10,10,4,16,42,50,72
0,10,10,10,4,17,10,11,13
0,10,10,10,5,0,2,2,2
0,10,10,10,5,1,2,26,239
0,10,10,10,5,2,3,3,4
0,10,10,10,5,3,139,146,167
0,10,10,10,5,4,127,133,138
0,10,10,10,5,5,3,3,4
0,10,10,10,5,6,135,138,144
0,10,10,10,5,7,3,5,18
0,10,10,10,5,8,141,143,146
0,10,10,10,5,9,145,147,153
0,10,10,10,5,10,169,172,181
0,10,10,10,5,11,139,143,147
0,10,10,10,5,12,135,140,148
0,10,10,10,5,13,21,22,30
0,10,10,10,5,14,5,5,8
0,10,10,10,5,15,5,6,8
0,10,10,10,5,16,44,46,58
0,10,10,10,5,17,5,5,8
0,10,10,10,6,0,2,2,3
0,10,10,10,6,1,3,23,205
0,10,10,10,6,2,3,3,4
0,10,10,10,6,3,142,155,169
0,10,10,10,6,4,132,151,166
0,10,10,10,6,5,3,3,4
0,10,10,10,6,6,145,161,181
0,10,10,10,6,7,3,3,4
0,10,10,10,6,8,143,160,230
0,10,10,10,6,9,148,156,168
0,10,10,10,6,10,177,193,227
0,10,10,10,6,11,140,155,166
0,10,10,10,6,12,139,153,170
0,10,10,10,6,13,28,33,40
0,10,10,10,6,14,7,8,10
0,10,10,10,6,15,7,8,10
0,10,10,10,6,16,47,54,74
0,10,10,10,6,17,6,7,9
0,10,10,10,7,0,2,2,3
0,10,10,10,7,1,2,27,256
0,10,10,10,7,2,3,3,4
0,10,10,10,7,3,152,167,179
0,10,10,10,7,4,142,155,168
0,10,10,10,7,5,2,2,3
0,10,10,10,7,6,149,177,336
0,10,10,10,7,7,3,3,7
0,10,10,10,7,8,149,155,163
0,10,10,10,7,9,151,159,176
0,10,10,10,7,10,167,179,203
0,10,10,10,7,11,142,153,164
0,10,10,10,7,12,149,167,201
0,10,10,10,7,13,39,41,50
0,10,10,10,7,14,8,8,10
0,10,10,10,7,15,9,9,10
0,10,10,10,7,16,26,27,33
0,10,10,10,7,17,8,8,11
0,10,10,10,8,0,2,2,4
0,10,10,10,8,1,3,30,280
0,10,10,10,8,2,3,3,4
0,10,10,10,8,3,137,164,203
0,10,10,10,8,4,148,158,166
0,10,10,10,8,5,2,2,3
0,10,10,10,8,6,155,164,175
0,10,10,10,8,7,3,3,6
0,10,10,10,8,8,140,189,530
0,10,10,10,8,9,145,159,187
0,10,10,10,8,10,179,195,227
0,10,10,10,8,11,152,170,234
0,10,10,10,8,12,141,167,245
0,10,10,10,8,13,39,44,58
0,10,10,10,8,14,8,9,12
0,10,10,10,8,15,9,9,10
0,10,10,10,8,16,26,28,43
0,10,10,10,8,17,7,7,9
0,10,10,10,9,0,2,2,3
0,10,10,10,9,1,3,29,268
